Subject,Number,Description,Credit Hours
ARCH,416,"This course surveys the architecture and urbanism in the territory of the present-day United States from c.1650 CE forward. Topics include Native American urban centers; the diverse national origins of colonial architecture; the ongoing significance of vernacular forms; the search for an architecture of democracy; the architecture of slavery; industrialization and the built environment; the Great Migration, urbanization, and architecture; the rise of a formal architectural profession; Modernist architectures in the U.S.; architecture, real estate, and the forces of capital investment; new technologies and the built environment. 3 undergraduate hours. 3 graduate hours. Prerequisite: ARCH 210, ARTH 112, or consent of instructor.",3 hours.
ARCH,417,"This course surveys the comparative history of world architecture and urbanism from c1900 to the present, including Modernist, postmodernist and contemporary architectures. Themes include the rise of new typologies, materials and techniques; the centrality of utopian thought, both built and imagined; architecture’s role in forging emerging national and postcolonial identities; architecture as visual communication; the rise of spectacle and the privatization of public space; adaptive reuse and emerging discourses of sustainability. 3 undergraduate hours. 3 graduate hours. Prerequisite: ARCH 210 or ARTH 112, or consent of instructor.",3 hours.
ARCH,423,"Research-oriented introduction to existing social and behavioral knowledge, methods, and tools for relating man to his physical and social environment, with implications for theories and a philosophy of architectural design. 3 undergraduate hours. 3 graduate hours. Prerequisite: Consent of instructor.",3 hours.
ARCH,433,"Loads and load combinations; design methods/structural safety; steel as a structural material; design of structural steel members subject to tension, compression, bending, shear, and combined forces as well as bolted and welded joints. Reinforced concrete as a structural material; transformed sections; design for bending, shear, and serviceability; design of one-way slabs and columns. 4 undergraduate hours. 4 graduate hours. Credit is not given for both ARCH 433 and ARCH 451; credit is not given for both ARCH 433 and ARCH 452. Prerequisite: ARCH 232.",4 hours.
ARCH,434,"Study of the control of thermal, luminous, and sonic environments with an emphasis on passive means of controls. Specific topics include: thermal comfort and behavioral implications; fundamentals of thermal behavior of buildings; the principles of heat and moisture in buildings; lighting fundamentals; light sources; effects of lighting on comfort and performance; energy economy and sustainability; acoustic fundamentals; room acoustics; noise control; basic electrical, plumbing, vertical transportation, and life safety systems. 5 undergraduate hours. 5 graduate hours.",5 hours.
ARCH,435,"Presents a unified approach to architectural structures and construction technology to enable students to integrate design, engineering, and construction, while providing an understanding of how material/component/system decisions impact the work of architects, engineers, and constructors. Using a series of case-studies and project-based assignments, students learn about the various structural systems and construction methods used in the design of buildings. The evolution and state-of-the-art in structure and construction strategies will be discussed to provide requisite breadth and depth. Topics covered include: structural and building codes; structural systems and their layout planning; foundation systems; construction methods and technologies in wood, steel, concrete, and masonry; sustainability considerations; detailing; and digital modeling. 4 undergraduate hours. 4 graduate hours. Prerequisite: ARCH 231, ARCH 232 and ARCH 433.",4 hours.
ARCH,451,"Loads and load combinations; design methods/structural safety; steel as a structural material; design of structural steel members subject to tension, compression, bending, shear, and combined forces as well as bolted and welded joints. Reinforced concrete as a structural material; transformed sections; design for bending, shear, and serviceability; design of one-way slabs and columns. 4 undergraduate hours. 4 graduate hours. Credit is not given for both ARCH 433 and ARCH 451; credit is not given for both ARCH 433 and ARCH 452. Prerequisite: ARCH 232.",4 hours.
ARCH,452,"Concrete materials; behavior of reinforced concrete construction; behavior and design of structural elements, one-way slabs, beams, and girders; columns; ACI code requirements; and introduction to continuity in reinforced concrete structures.  undergraduate hours. 4 graduate hours. Prerequisite: ARCH 352.",4 hours.
ARCH,468,"This course is designed to enrich the professional development of students in a study abroad location. Students participate in thematic workshops, seminars, lectures and field trips focused on understanding and analyzing architectural and urbanistic landmarks and settings on site through both directed and independent assignments. 3 undergraduate hours. No graduate credit. May be repeated in separate terms up to 6 hours. Prerequisite: Senior standing in the School of Architecture.",3 hours.
ARCH,475,"This course is designed to enrich the professional development of students in a study abroad location. Students participate in thematic workshops, seminars, lectures and field trips focused on understanding and analyzing architectural and urbanistic landmarks and settings on site through both directed and independent assignments. 3 undergraduate hours. No graduate credit. May be repeated in separate terms up to 6 hours. Prerequisite: Senior standing in the School of Architecture.",3 hours.
ARCH,476,"Exploration of boundaries of architecture and the built environment. Focused exploration into specific design topics, such as issue-oriented building problems, urban design theory, intermediate building design and site planning theory, human-environment relationship theory, interdisciplinary design, and architectural design and presentation methods. 4 undergraduate hours. 4 graduate hours. Prerequisite: ARCH 475.",6 hours.
ARCH,490,"Selected topics in and applications of contemporary architecture; see Class Schedule or department office for current topics. 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in separate terms up to 12 undergraduate hours or 8 graduate hours, if topics vary. Prerequisite: Consent of instructor. For majors only.",1 TO 4 hours.
ARCH,501,"Role of the architect in the building enterprise, professional ethics, and the conduct of professional practice; legal aspects of architectural practice and building construction; introduction of business management, marketing, operational procedures, financial planning, and cost control of architectural practices; and the administration of construction contracts. Prerequisite: Graduate standing or consent of instructor.",3 hours.
ARCH,517,"This course is a survey of significant buildings, movements, and figures of modern and contemporary architecture, contextualized in the social, cultural, political, economic, and technological developments of their time. It outlines the development of Modernist, postmodernist, and contemporary architectural thought. Key themes include industrialization and modernization, the development of global Modernisms and postmodernism in the twentieth-century, regionalism, globalization, the sustainability movement, and the development of digital technologies in architecture. 3 graduate hours. No professional credit.",3 hours.
ARCH,536,"This course addresses the selection, planning, and preliminary design of structural systems for buildings. Emphasis is on understanding structural systems and their components as part of an integrated building system. Topics covered include a review of concepts from statics and strength of materials, structural requirements of strength-stiffness-stability, structural planning considerations, gravity loads and systems, lateral loads and systems, soils and foundations, and cable-net and other facade systems. 4 graduate hours. No professional credit. Prerequisite: ARCH 232 and ARCH 433 or consent of instructor.",4 hours.
ARCH,537,"This course investigates the control of thermal and luminous environments with an emphasis on active means of controls and building envelope design. Specific topics include: heating and cooling load and energy calculations; primary (boilers, chillers, etc.) and secondary (comfort delivery) mechanical systems; indoor air quality; energy, lighting, and daylighting codes and metrics; electric lighting properties, selection, design, and calculations; advanced daylighting strategies and calculations; visual comfort assessment; curtain wall and masonry systems; and rain screen principles. 4 graduate hours. No professional credit. Prerequisite: ARCH 434 or consent of instructor.",4 hours.
ARCH,577,Review of principles of architectural design; factors in programming architectural requirements; design development; and evaluation and criticism. 4 graduate hours. No professional credit. Prerequisite: ARCH 517 or consent of instructor.,4 hours.
ARCH,593,The investigation and study of the design and fabrication of architectural components and assemblies. 2 to 4 graduate hours. No professional credit. May be repeated as topics vary to a maximum of 12 hours. Prerequisite: Restricted to Graduate Students.,2 TO 4 hours.
ART,100,"Interdisciplinary methods in recognizing and understanding meaning of a wide range of visual messages in the arts, design, and culture, with emphasis on critical thinking and analysis. Topics include: visual perception, visual persuasion, the visual interpretation of time and space, humor. Contemporary art and design are explored through the use of semiotics and historical, cultural and ethical aesthetic and technical perspectives.",3 hours.
ART,102,"Students will work with a wide variety of drawing materials, methods and strategies in a studio art context. Students will explore drawing concepts, form, and technique through production and critique of artworks, as well as address theories and histories of visual representation through readings and discussion. Students with little or no background in visual art are encouraged to participate as well as those who may have significant knowledge and experience. Not open to students majoring in art and design. Additional fees may apply. See Class Schedule.",3 hours.
ART,103,"Students will work with a wide variety of painting materials, methods and strategies in a studio art context. Students will explore painting concepts, form, and technique through production and critique of artworks, as well as address theories and histories of visual representation through readings and discussion. Students with little or no background in visual art are encouraged to participate along with those who have significant knowledge and experience. Additional fees may apply. See Class Schedule.",3 hours.
ART,104,"Students will work with a wide variety of sculptural materials, methods and strategies in a studio art context. Students will explore sculpture concepts, form, and technique through production and critique of artworks, as well as address theories and histories of visual representation through readings and discussion. Students with little or no background in visual art are encouraged to participate along with those who may have significant knowledge and experience. Additional fees may apply. See Class Schedule.",3 hours.
ART,105,"This course utilizes lectures, exercises, and projects to help students heighten their visual literacy, improve their ability to communicate in an increasingly visually oriented world, and gain a better understanding of the processes and methodologies that designers use. Additional fees may apply. See Class Schedule.",3 hours.
ART,310,"Introduces design literacy and promotes an understanding of the field of contemporary design. Explores design thinking as a common thread that connects all disciplines concerned with the making of things, the solving of problems, and the organization of information. Through a series of lectures, case studies, and simple design projects, this course offers an extensible framework of tools and strategies that can be applied across multiple disciplinary boundaries.",3 hours.
ARTD,101,"Introduction to problem-finding and problem-solving processes in the design of products. This course teaches foundational industrial design skills, methods, philosophies, and design thinking. Creation of 3-dimensional products begins with a simplified design process, adding steps until a final project is completed that incorporates all components of the design process. This course satisfies the 3D requirement in the new Art + Design Foundations curriculum. Additional fees may apply. See Class Schedule. Prerequisite: For Art + Design majors only.",3 hours.
ARTD,201,"Introduction to the creative process and methods involved in industrial design; research, modeling, form giving, prototyping and communication with emphasis on user centered design. Projects of escalating scale and complexity complemented by lectures and demonstrations. Additional fees may apply. See Class Schedule. Prerequisite: Concurrent registration in ARTD 224 or ARTD 225.",4 hours.
ARTD,209,Explores the Japanese Tea Ceremony and its relevance to everyday life.  Students will acquire a better understanding of Japanese culture and a new appreciation of their own cultures through the study of the Tea Ceremony and the Zen worldview that informs it. Additional fees may apply. See Class Schedule.,3 hours.
ARTD,218,"This 16-week course will immerse students in a series of assignments designed to help them develop a fundamental understanding of front-end web technologies, such as HTML5, CSS and JavaScript, and prepare them to plan and develop interactive experiences.",3 hours.
ARTD,222,This introductory studio functions as a survey of typographic practice across media platforms. Students relate typographic form to reading conventions and reproduction technologies. Additional fees may apply. See Class Schedule.,3 hours.
ARTD,225,"Introduction to the creative process and methods involved in industrial design; research, modeling, form giving, prototyping and communication with emphasis on user centered design. Projects of escalating scale and complexity complemented by lectures and demonstrations. Additional fees may apply. See Class Schedule. Prerequisite: Concurrent registration in ARTD 224 or ARTD 225.",4 hours.
ARTD,230,"Design thinking, a term with origins in industrial design practice, describes a human-centered approach to design and innovation in products and services, addressing the tri-partite requirements of feasibility, desirability and viability. With this focus on determining user needs, a variety of processes, including observation, empathy, ideation, prototyping and modeling, are used to discover people's needs and opportunities for design thinking, along with the communication of design outcomes by diagrammatic and narrative means. Design thinking is best done in teams, hence the project team basis for this course. This course concentrates on need-finding rather than the full resolution of design proposals. Same as TE 230. Additional fees may apply. See Class Schedule. Prerequisite: For Art+Design or Engineering majors only.",3 hours.
ARTD,251,This studio introduces students to the field of graphic design in theory and practice. The course examines what graphic designers make and the methods that are employed in contemporary design practice. Emphasis is placed on the organization and visual presentation of relevant content across media and their effect within systems. Additional fees may apply. See Class Schedule.,2 hours.
ARTD,270,"Design Methods is a hybrid studio and seminar that introduces students to the principles and process of human-centered design through a focus on research and observation outside of the studio. This approach will allow students to address the social and cultural contexts in which designers intervene. Through a series of exercises and projects, students will begin to develop competencies in conducting research in specific environments in order to inform and inspire the direction of their design projects. Students will also learn how to iterate design solutions and prototypes based on expert input, testing and user feedback. Students will better understand and articulate the tools and methodologies shared by all design disciplines as it relates to a variety of actions and outcomes: visual communication and the design of objects, services, interactions and experiences. Additional fees may apply. See Class Schedule.",2 hours.
ARTD,299,"Topics and subject matter to be published in course listings. Additional fees may apply. See Class Schedule. May be repeated to a maximum of 6 hours in a semester, to a maximum of 12 total hours. Prerequisite: Sophomore standing in Art and Design.",1 TO 5 hours.
ARTD,301,"Design of user centered products for mass production; experience in the iterative problem solving processes and methods. Addresses practical constraints such as sustainability, environmental factors/ergonomics, manufacturing and materials, social and political and economic. Additional fees may apply. See Class Schedule. Prerequisite: ARTD 202.",4 hours.
ARTD,302,"Industrial design problems of increasing complexity, scope and size. Continuation of ARTD 301. Additional fees may apply. See Class Schedule. Prerequisite: ARTD 301.",4 hours.
ARTD,313,"Industrial design problems of increasing complexity, scope and size. Continuation of ARTD 301. Additional fees may apply. See Class Schedule. Prerequisite: ARTD 301.",4 hours.
ARTD,318,"This studio explores the construction of compelling user experiences that incorporate the use of digital media. Students investigate both the theoretical and practical aspects of interaction through exercises involving information architecture, interface design, and creative code. Additional fees may apply. See Class Schedule. Prerequisite: Junior standing in graphic design or consent of instructor.",2 hours.
ARTD,326,"Exploration of environmental origins, theory and practice of sustainable product design. Environmentally-responsive design methodologies and topics such as industrial ecology, dematerialization, design for disassembly, design for recycling and life-cycle assessment. Additional fees may apply. See Class Schedule. Prerequisite: Junior standing in Art and Design or consent of instructor.",3 hours.
ARTD,328,"Principles of human-centered design and usability applied to products, product systems, and product environments to enhance the user experience; strategies to enhance independent learning for professional development, to further research, and to acquire new skills. Additional fees may apply. See Class Schedule. Prerequisite: Junior standing in Art and Design or consent of instructor.",3 hours.
ARTD,333,This studio extends typographic study with representational strategies for image reproduction technology. Students engage in practices for incorporating existing and created imagery into typographic systems. Additional fees may apply. See Class Schedule. Prerequisite: ARTD 222.,3 hours.
ARTD,351,"Principles of human-centered design and usability applied to products, product systems, and product environments to enhance the user experience; strategies to enhance independent learning for professional development, to further research, and to acquire new skills. Additional fees may apply. See Class Schedule. Prerequisite: Junior standing in Art and Design or consent of instructor.",3 hours.
ARTD,362,Advanced course on a special topic: see Class Schedule section note for description. Additional fees may apply. See Class Schedule. May be repeated to a maximum of 12 hours. Prerequisite: Junior or senior standing in art and design; or consent of instructor based upon announced criterion that varies with topic.,3 hours.
ARTD,371,"This analytical studio prepares students for entry into the field of graphic design. Professional practice is parsed into areas of opportunity, to which students ultimately align themselves and by which they structure their preparatory endeavors. Additional fees may apply. See Class Schedule. Prerequisite: ARTD 207 and ARTD 333. For majors only.",2 hours.
ARTD,402,"Capstone project integrating all aspects of the design process from concept through final design, documentation and presentation; reconciliation of user centered constraints such as socio-economic, environmental-sustainability, manufacturability, health and safety and ethical. Standard approach that of an entry level industrial design professional. Additional fees may apply. See Class Schedule. 4 undergraduate hours. 4 graduate hours. Prerequisite: ARTD 401.",4 hours.
ARTD,418,This advanced studio immerses students in design investigations that foster understanding of emergent digital interaction paradigms. Potential areas of exploration include design and development for both mobile devices and interactive environments. Additional fees may apply. See Class Schedule. 3 undergraduate hours. 3 graduate hours. Prerequisite: ARTD 318. Junior standing.,3 hours.
ARTD,420,"Focuses on user-oriented, collaborative approaches to designing new products and services, with special emphasis on designing for people with disabilities. Students gain an understanding of the product development process by exploring empathic design research approaches, while working directly with prospective clients. Course work centers on designing products for mass production, and on recognizing opportunities to re-engineer existing products. 3 undergraduate hours. 3 graduate hours. Prerequisite: Junior standing.",3 hours.
ARTD,426,"Advanced design projects in the context of the business environment in which product design and development takes place; marketing, branding, merchandizing, entrepreneurship within the context of globalized marketing and manufacturing. Additional fees may apply. See Class Schedule. 4 undergraduate hours. 4 graduate hours. Prerequisite: ARTD 302.",4 hours.
ARTD,444,Students engage with complex typographic systems across varied media in a studio setting. Additional fees may apply. See Class Schedule. 3 undergraduate hours. 4 graduate hours. Prerequisite: ARTD 318 and ARTD 333. Junior standing required.,3 OR 4 hours.
ARTD,448,"Concentrates on developing presentation and communication skills that form the basis of a successful design career. Students will engage in portfolio reviews, plan and install exhibitions, prepare client presentations, and rehearse job interviews. Written work will include CV preparation. Emphasis will be placed on familiarizing students with professional practices and contexts. 3 undergraduate hours. No graduate credit.",3 hours.
ARTD,451,"Ethics of a Designer in a Global Economy (EDGE) studio presents complex problems of ethics within the graphic design practice. Individual sections address social and environmental issues. Additional fees may apply. See Class Schedule. 4 undergraduate hours. 4 graduate hours. May be repeated up to 8 hours in the same term and 12 hours in separate terms, if topics vary. Prerequisite: ARTD 333.",4 hours.
ARTD,471,Students in this advanced studio articulate individual interests and conduct corresponding investigations to develop specialized expertise. The coursework represents the student's final preparation for practice in graphic design. Additional fees may apply. See Class Schedule. 3 undergraduate hours. No graduate credit. Prerequisite: ARTD 444 and ARTD 451. For majors only.,3 hours.
ARTD,499,Topics and subject matter to be published in course listings. Additional fees may apply. See Class Schedule. 1 to 3 undergraduate hours. 1 to 4 graduate hours. May be repeated as topics vary to a maximum of 9 undergraduate hours or 12 graduate hours. Prerequisite: Senior standing or consent of instructor.,1 TO 4 hours.
ARTE,101,"This course provides an introductory forum for beginning artists, designers, art historians, and art educators to think through the motivation(s) behind their/our creative work(s), research, and practices. Through topical examinations of contemporary art, craft, design, art history scholarship, art education scholarship, and interdisciplinary projects, developing artists will sift through pertinent issues around sustainability, ethics, ecologies, pedagogies, and civic engagement in order to inform our own burgeoning motivations and creative practices. Additional fees may apply. See Class Schedule. Prerequisite: For Art+Design majors only.",2 hours.
ARTE,201,"Provides students with philosophical foundations for teaching art including in public schools. The primary emphasis will be on understanding recent and contemporary orientations through readings and practical activities. Particular emphasis will be placed on emerging trends in Art Education, especially the use of technology and the value of visual culture in student lives. It is envisaged that this course will provide the primary theoretical foundation for further practical and pre-service teaching courses in Art Education. Additional fees may apply. See Class Schedule.",3 hours.
ARTE,202,"In this course students will learn how individuals can facilitate the art experience for others. Through mutual exploration, research, and invention, students in this course will develop personal methods for teaching art and guiding others through experiences with art. There is a strong emphasis made in this course on how teaching practice(s) are related to art making practice(s) and therefore how teaching is a means through which meaning is made for the self and the public. Additional fees may apply. See Class Schedule.",3 hours.
ARTE,475,"This class examines community-based art projects that partner undergraduates with youth (K-12) in non-university settings including community centers and schools. Through this course, students will design and teach arts and public engagement projects. They will explore their identities as artists, educators, and citizens. Students will learn how to assess impact of their projects and teaching. The course welcomes all students; no prior teaching or community-based education experience necessary. Additional fees may apply. See Class Schedule.",3 hours.
ARTF,101,"In this course students will learn how individuals can facilitate the art experience for others. Through mutual exploration, research, and invention, students in this course will develop personal methods for teaching art and guiding others through experiences with art. There is a strong emphasis made in this course on how teaching practice(s) are related to art making practice(s) and therefore how teaching is a means through which meaning is made for the self and the public. Additional fees may apply. See Class Schedule.",3 hours.
ARTF,102,"Theory and practice in observational drawing with emphasis on fundamental principles such as mark/line, shape/form, space/composition, linear/perspective, scale/proportion, value/tonal range, and pattern/texture. Additional fees may apply. See Class Schedule. Prerequisite: For art and design majors only.",3 hours.
ARTF,104,"Continuation of ARTF 102 that includes the following drawing concepts: narrative, conceptual, applied, non-objective, format, process, seriality and collage. Additional fees may apply. See Class Schedule. Prerequisite: ARTF 102. Open to Art and Design majors only.",3 hours.
ARTH,110,"This course introduces participants to foundational questions that shape the disciplines of art history and visual studies. It is not a comprehensive survey. Rather, it provides students critical frames for examining the visual world from various temporal, geographic, and methodological perspectives. Students will investigate the history, interpretation, and criticism of selected cultural objects, images, places, and spaces across time and around the globe.",0 or 3 hours.
ARTH,113,"An introduction to the arts of Africa. Sculpture, textiles, architecture, body adornment, and performance will be examined on the basis of aesthetic, religious, political, and social contexts. The main emphasis will be on traditional art, although the course will address many changes and continuities within African art as evidenced in the late 20th century. The course will proceed geographically from western through central to eastern and southern Africa. Videos, music, and museum visits will complement the lectures.",4 hours.
ARTH,115,"Introduces students to basic concepts necessary for understanding the visual arts.  It orients students to the visual arts in a variety of international contexts, and in particular in our current globalizing world. This course can be used to fulfill either Western or Nonwestern general education categories, but not both.",4 hours.
ARTH,211,"The historical, social and cultural context of design concentrating on manufactured products, communication, media and design from the Industrial Revolution to the present. Lectures, seminars and individual research projects.",3 hours.
ARTH,215,"Survey of architecture, sculpture, and painting of the Greek world from the geometric period to the beginning of the Christian era. Same as CLCV 217.",3 hours.
ARTH,231,"Architecture, painting, sculpture, and minor arts of Europe outside Italy in the fifteenth and sixteenth centuries. Same as MDVL 231.",3 hours.
ARTH,235,"Explores the diverse functions of the visual arts in Europe in a period of religious strife; expanding global trade; the rise of early capitalism, and the consolidation of absolutist regimes.",3 hours.
ARTH,240,"Architecture, painting, sculpture, and minor arts of France, Germany, Spain, and England in the nineteenth century.",3 hours.
ARTH,241,"This course examines the ways in which artists reconceived how art should look and function in response to the many changes -- social, political, and technological -- that accompanied the modernization of Europe from 1880 to 1940. Topics to be covered include the avant-garde, modernism's relationship to ""primitivism,"" pure abstraction, art's responses to the political upheavals of World War I and the Russian Revolution, the advent of design, and the politics of realism and representation. Although primarily focused in Europe, the course also touches on related modern movements globally.",3 hours.
ARTH,242,"The scope of this course begins amidst the devastation and geopolitical shifts that followed World War II and ends with the effects of globalization in the 1990s and 2000s. We will ask the same questions that faced artists and critics in between: Should art focus on its own material processes or open its borders to historical flux? Is it art's job to create the cultural myths that bind society together, or to deconstruct them? Who participates in modern and contemporary art, and who doesn't? What kinds of production should be considered art? How are specific formal strategies informed by the perspectives of different subject positions? What politics underwrite them? We will consider, and reconsider, the existing narratives about art during this period with a dual aim: first, to better understand the historical positions of the artists in question, and, second, to piece together a prehistory of the moment in which we currently find ourselves.",3 hours.
ARTH,250,Surveys American art and architecture from the colonial period to the present.,3 hours.
ARTH,257,"Examines a history of photography from its origin to the present, including both documentary and artistic approaches; considers relationships with other arts.",3 hours.
ARTH,260,"From Bronx walls to the Berlin Wall, from ancient palatial decorations to spray-can art, murals and graffiti have been revolutionary political tools, objects of aesthetic contemplation, and vehicles for identity formation. Primarily a lecture course that examines ancient and early modern cases from different cultures, as well as focusing on modern examples from Latin America and the USA. Same as LLS 260.",3 hours.
ARTH,299,"Special topics in Art History Courses. Topics and subject matter to be published in course listings. May be repeated up to 6 hours in a semester, to a maximum of 12 total hours. Prerequisite: Sophomore standing in Art and Design.",3 hours.
ARTH,313,"Examines how multiple ""modernisms"" emerged from African independence movements, and thereby influenced the development of African and African-American art from the 1960s to the present. Same as AFST 313.",3 hours.
ARTH,344,"Introduction to the rich visual cultures of Spain beginning with the Bourbon dynasty in the eighteenth century through the early decades of the twentieth century. The course examines a variety of themes: from the mythologized loves of Goya, to the grandeur of canvases recreating Spain's history; from Spanish Romanticism to the rise of vanguard movements and the advent of Pablo Picasso. 3 undergraduate hours. Prerequisite: Previous introductory level art history course recommended, but not required.",3 hours.
ARTH,360,"Explores the complex interconnections of women with the visual arts in Europe and North America from the classical era to the present, including the modes of artistic production and the representation of women in western society. Same as GWS 360.",3 hours.
ARTH,361,"This class investigates the history of contemporary art, examining the key issues, institutions, and events that have shaped how and where contemporary art is made, displayed, encountered, and critiqued. Attention will center on the artistic and political engagements that inform contemporary practices, from the legacies of twentieth century artmaking to the fluctuations of global financial markets to artist responses to topics such as human rights crises and ecological disasters. Readings and discussions will also explore influential cultural centers in today’s global art world, including Beirut, Lagos, New York, and Shanghai. Prerequisite: No prerequisites, but students are encouraged to take ARTH 242 - Modern Art prior to ARTH 361 - Contemporary Art.",3 hours.
ARTH,402,"Focuses on modes of seeing and technologies of vision manifest in the visual arts of Edo Japan, 1615-1868. At the time, imported European instruments of seeing, such as the microscope, made possible unusual visual experiences; revivals of classical Japanese painting manipulated different ways of recreating and visualizing the past. A variety of themes, organized chronologically, will demonstrate the importance of seeing in painting and calligraphy, ceramics, woodblock prints, and architecture. Same as EALC 402. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: Junior standing required.",3 OR 4 hours.
ARTH,403,Study of the diverse correlations between verbal texts and visual images in Chinese art and art theory from the twelfth through seventeenth centuries. Same as EALC 403. 3 undergraduate hours. 3 or 4 graduate hours.,3 OR 4 hours.
ARTS,220,"An overview of the many diverse areas of interest and employment available to someone with and interest in fashion. This course will focus on the development of an individual apparel design process. Other topics include basic garment construction concepts, properties of textiles, fashion illustration, 20th century dress history, manufacturing, trend forecasting, merchandising, and social psychology of dress. Same as FAA 220.",3 hours.
ARTS,251,Representational and interpretive drawing from life explored through close observation and structural analysis of the human figure and other subject matter. Additional fees may apply. See Class Schedule. May be repeated to a maximum of 6 hours. Prerequisite: ARTF 102 and ARTF 104. For Art majors only.,3 hours.
ASRM,195,"An introduction to basic data management concepts and programming skills necessary for analyzing data in actuarial and financial applications. Students are expected to learn how to store, clean, explore and analyze data using a programming language and statistical software. Prerequisite: For actuarial science majors only. For freshman only.",3 hours.
ASRM,199,Covers special topics. Approved for Letter and S/U grading. May be repeated in the same term up to 12 hours or separate terms up to 12 hours.,1 TO 5 hours.
ASRM,210,Study of compound interest and annuities; applications to problems in finance. Prerequisite: MATH 231 or equivalent.,3 hours.
ASRM,406,"Emphasizes techniques of linear algebra and introductory and advanced applications to actuarial science, finance and economics. Topics include linear equations, matrix theory, vector spaces, linear transformations, eigenvalues and eigenvectors and inner product spaces. In addition, current research topics such as modeling, data mining, and generalized linear models are explored. 3 or 4 undergraduate hours. 3 or 4 graduate hours. Credit is not given for both ASRM 406 (formerly MATH 410) and any of MATH 125, MATH 225, MATH 415 or MATH 416. 4 hours of credit requires approval of the instructor and department with completion of additional work of substance. Prerequisite: MATH 241; ASRM 210 (formerly MATH 210) or FIN 221; or consent of instructor.",3 OR 4 hours.
ASRM,409,"An introduction to stochastic processes and their applications to finance and insurance. Topics include conditional probability, conditional expectation, Markov chains, Poisson processes, reliability theory, Brownian motion and elementary introductions to insurance risk theory and option pricing theory. 3 or 4 undergraduate hours. 3 or 4 graduate hours. Prerequisite: ASRM 401 (formerly MATH 408) or MATH 461.",3 OR 4 hours.
ASRM,410,"Theoretical foundation in financial models and their applications to insurance and other financial risks. Topics include derivative markets, no arbitrage pricing of financial derivatives, interest rate models, dynamic hedging and other risk management techniques. 3 undergraduate hours. 4 graduate hours. Prerequisite: Credit or concurrent registration in ASRM 402 or STAT 410.",3 OR 4 hours.
ASRM,461,"Foundation in the actuarial modeling process; construction, selection and validation of empirical models and parametric models. Also covers survival, severity, frequency and aggregate loss models; statistical methods to estimate model parameters. 3 undergraduate hours. No graduate credit. Credit is not given for ASRM 461 (formerly MATH 478) and ASRM 561 (formerly MATH 568). Prerequisite: ASRM 401 (formerly MATH 408), MATH 461 or MATH 463; credit or concurrent registration in ASRM 402 (formerly MATH 409) or MATH 464.",3 hours.
ASRM,469,"An introduction to property/casualty actuarial science, exploring its mathematical financial, and risk-theoretical foundations. Specific topics include risk theory, loss reserving, ratemaking, risk classification, credibility theory, reinsurance, financial pricing of insurance, and other special issues and applications. 3 or 4 undergraduate hours. No graduate credit. Credit is not given for ASRM 469 (formerly MATH 479) and ASRM 569 (formerly MATH 569). Prerequisite: ASRM 210 (formerly MATH 210); credit or concurrent registration in ASRM 402 (formerly MATH 409); or consent of instructor.",3 OR 4 hours.
ASRM,471,"Foundation in the actuarial modeling process; construction, selection and validation of empirical models and parametric models. Also covers survival, severity, frequency and aggregate loss models; statistical methods to estimate model parameters. 3 undergraduate hours. No graduate credit. Credit is not given for ASRM 461 (formerly MATH 478) and ASRM 561 (formerly MATH 568). Prerequisite: ASRM 401 (formerly MATH 408), MATH 461 or MATH 463; credit or concurrent registration in ASRM 402 (formerly MATH 409) or MATH 464.",3 hours.
ASRM,472,"Foundation in the actuarial modeling process; construction, selection and validation of empirical models and parametric models. Also covers survival, severity, frequency and aggregate loss models; statistical methods to estimate model parameters. 3 undergraduate hours. No graduate credit. Credit is not given for ASRM 461 (formerly MATH 478) and ASRM 561 (formerly MATH 568). Prerequisite: ASRM 401 (formerly MATH 408), MATH 461 or MATH 463; credit or concurrent registration in ASRM 402 (formerly MATH 409) or MATH 464.",3 hours.
ASRM,510,"Theoretical basis of financial models and their applications to insurance and other financial risks. Topics include derivative markets, no-arbitrage pricing of financial derivatives, interest rate models, dynamic hedging and other risk management techniques. 4 graduate hours. No professional credit. Credit is not given for ASRM 410 (formerly MATH 476) and ASRM 510 (formerly MATH 567). Prerequisite: ASRM 402 (formerly MATH 409) or MATH 464.",4 hours.
ASRM,552,Covers special topics in actuarial science. 1 to 4 undergraduate hours. 1 to 4 graduate hours. Approved for Letter and S/U grading. May be repeated. Prerequisite: Consent of instructor.,1 TO 4 hours.
ASTR,100,"Introduces the student to the basic concepts of modern astronomy. Covers topics including the night sky; the solar system and its origin; the nature and evolution of stars; stellar remnants, including white dwarfs, neutron stars, and black holes; extrasolar planetary systems; galaxies and quasars; dark matter and dark energy; the Big Bang and the fate of the universe; and life in the universe. Credit is not given for ASTR 100 if credit in any of ASTR 121, ASTR 122, ASTR 210, or equivalent has been earned. Students with credit in PHYS 211 are encouraged to take ASTR 210.",3 hours.
